Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Chodavaram,26,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KARANAM DHARMASRI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",42189,18/18,Result Declared
Darsi,103,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress PartyiParty Wise State TrendsLeading In:0Won In:11Trailing In:0,GOTTIPATI LAKSHMI,"Telugu Desam
iParty Wise State TrendsLeading In:0Won In:135Trailing In:0",2456,21/21,Result Declared
Denduluru,64,CHINTAMANENI PRABHAKAR,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ABBAYA CHOWDARY KOTHARU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",26266,18/18,Result Declared
Dharmavaram,160,SATYA KUMAR YADAV,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:8Trailing In:0,KETHIREDDY VENKATA RAMI REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",3734,21/21,Result Declared
Dhone,141,KOTLA JAYA SURYA PRAKASH REDDY,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,BUGGANA RAJA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",6049,21/21,Result Declared
Eluru,65,RADHA KRISHNAYYA BADETI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,ALLA KALI KRISHNA SRINIVAS,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",62388,16/16,Result Declared
Etcherla,7,ESWARA RAO NADUKUDITI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:8Trailing In:0,KIRAN KUMAR GORLE,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",29089,23/23,Result Declared
Gajapathinagaram,16,KONDAPALLI SRINIVAS,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,APPALANARASAYYA BOTCHA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",25301,20/20,Result Declared
Gajuwaka,25,PALLA SRINIVAS RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,AVSS AMARNATH GUDIVADA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",95235,22/22,Result Declared
Gangadhara Nellore (SC),171,DR. VM. THOMAS,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,K. KRUPALAKSHMI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",26011,20/20,Result Declared
