Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Khariar,72,ADHIRAJ MOHAN PANIGRAHI,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,HITESH KUMAR BAGARTTI,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",9618,22/22,Result Declared
Khurda,117,PRASANTA KUMAR JAGADEV,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RAJENDRA KUMAR SAHOO,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",8598,19/19,Result Declared
Koraput,144,RAGHURAM MACHHA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RAGHU RAM PADAL,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",2524,18/18,Result Declared
Korei,53,AKASH DASNAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SANDHYARANI DAS,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",5646,18/18,Result Declared
Kotpad,142,RUPU BHATRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,CHANDRA SEKHAR MAJHI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",26264,25/25,Result Declared
Kuchinda,15,RABI NARAYAN NAIK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RAJENDRA KUMAR CHHATRIA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",32220,28/28,Result Declared
Lakshmipur,141,PABITRA SAUNTA,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,PRABHU JANI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",21262,19/19,Result Declared
Lanjigarh,77,PRADIP KUMAR DISHARI,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,BALABHADRA MAJHI,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",6501,23/23,Result Declared
Loisingha,66,MUKESH MAHALING,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,NIHAR RANJAN BEHERA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",18190,30/30,Result Declared
Mahakalapada,100,DURGA PRASAN NAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,ATANU SABYASACHI NAYAK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",33526,29/29,Result Declared
Mahanga,95,SARADA PRASAD PADHAN,IndependentiParty Wise State TrendsLeading In:0Won In:3Trailing In:0,ANKIT PRATAP JENA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",7423,26/26,Result Declared
Malkangiri,146,NARASINGA MADKAMI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,MALA MADHI,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",14890,23/23,Result Declared
Mohana,136,DASARATHI GAMANGO,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,PRASANTA KUMAR MALLIK,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",4059,31/31,Result Declared
Morada,34,DR. KRUSHNA CHANDRA MAHAPATRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,PREETINANDA KANUNGO,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",33270,23/23,Result Declared
Nabarangpur,75,GOURI SHANKAR MAJHI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,KAUSALYA PRADHANI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",25094,23/23,Result Declared
Narla,81,MANORAMA MOHANTY,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,BHAKTA CHARAN DAS,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",5205,21/21,Result Declared
Nayagarh,122,ARUNA KUMAR SAHOO,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,PRATYUSHA RAJESHWARI SINGH,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",439,20/20,Result Declared
Niali,92,CHHABI MALIK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,DR. PRAMOD KUMAR MALLICK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",1452,28/28,Result Declared
Nilgiri,40,SANTOSH KHATUA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SUKANTA KUMAR NAYAK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",19839,17/17,Result Declared
Nimapara,106,PRAVATI PARIDA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,DILLIP KUMAR NAYAK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",4588,28/28,Result Declared
Nuapada,71,RAJENDRA DHOLAKIA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,GHASIRAM MAJHI,"Independent
iParty Wise State TrendsLeading In:0Won In:3Trailing In:0",10881,23/23,Result Declared
Padampur,1,BARSHA SINGH BARIHA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,GOBARDHAN BHOY,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",10993,25/25,Result Declared
Pallahara,59,ASHOK MOHANTY,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,MUKESH KUMAR PAL,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",7563,20/20,Result Declared
Paradeep,101,SAMPAD CHANDRA SWAIN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,GEETANJALI ROUTRAY,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",15787,22/22,Result Declared
Paralakhemundi,137,RUPESH KUMAR PANIGRAHI,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,KODURU NARAYANA RAO,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",3998,29/29,Result Declared
Parjanga,58,BIBHUTI BHUSAN PRADHAN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,DR. NRUSINGHA CHARAN SAHU,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",32162,26/26,Result Declared
Patkura,96,ARVIND MOHAPATRA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,TEJESWAR PARIDA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",13822,31/31,Result Declared
Patna,23,AKHILA CHANDRA NAIK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,JAGANNATH NAIK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",37979,20/20,Result Declared
Patnagarh,67,KANAK VARDHAN SINGH DEO,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SAROJ KUMAR MEHER,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",1357,26/26,Result Declared
Phulbani,84,UMA CHARAN MALLICK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,JAYASHREE KANHAR,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",2858,23/23,Result Declared
Pipili,110,ASHRIT PATTANAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RUDRA PRATAP MAHARATHY,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",15162,28/28,Result Declared
Polasara,124,GOKULANANDA MALLIK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SRIKANTA SAHU,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",20946,22/22,Result Declared
Pottangi,145,RAMA CHANDRA KADAM,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,PRAFULLA KUMAR PANGI,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",1919,20/20,Result Declared
