Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Begunia,116,PRADIP KUMAR SAHU S/O-LAXMIDHAR SAHU,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,PRAKASHA CHANDRA BIJULI,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",47814,18/18,Result Declared
Berhampur,133,K. ANIL KUMAR,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,DR. RAMESH CHANDRA CHYAU PATNAIK,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",18709,22/22,Result Declared
Bhadrak,44,SITANSU SEKHAR MOHAPATRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,PRAFULLA SAMAL,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",16068,19/19,Result Declared
Bhandaripokhari,43,SANJIB KUMAR MALLICK,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,NIRANJAN PATNAIK,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",1551,20/20,Result Declared
Bhanjanagar,123,PRADYUMNA KUMAR NAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,BIKRAM KESHARI ARUKHA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",16324,19/19,Result Declared
Bhatli,5,IRASIS ACHARYA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SUSANTA SINGH,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",27892,22/22,Result Declared
Bhawanipatna,80,SAGAR CHARAN DAS,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,PRADIPTA KUMAR NAIK,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",13741,21/21,Result Declared
Bhograi,36,GOUTAM BUDDHA DAS,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SATYA SHIBA DAS,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",6564,26/26,Result Declared
Bhubaneswar Central,112,ANANTA NARAYAN JENA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,JAGANNATH PRADHAN,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",37,17/17,Result Declared
Bhubaneswar North,113,SUSANT KUMAR ROUT,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,PRIYADARSHI MISHRA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",11343,22/22,Result Declared
